,name,team,position,gamesPlayed,fumblesForced,fumblesRecovered,fumblesTouchdowns,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingYardsPerGame,longPassing,passingTouchdowns,interceptions,sacks,sackYardsLost,QBR,QBRating,adjQBR,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingBigPlays,rushingTouchdowns,rushingYardsPerGame,rushingFumbles,rushingFumblesLost,rushingFirstDowns,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingBigPlays,receivingYardsPerGame,receivingFumbles,receivingFumblesLost,receivingYardsAfterCatch,receivingFirstDowns,soloTackles,assistTackles,totalTackles,sacks,sackYards,tacklesForLoss,passesDefended,longInterception,interceptions,interceptionYards,interceptionTouchdowns,rushingTouchdowns,receivingTouchdowns,returnTouchdowns,totalTouchdowns,fieldGoals,kickExtraPoints,totalTwoPointConvs,totalPoints,totalPointsPerGame,kickReturns,kickReturnYards,yardsPerKickReturn,longKickReturn,kickReturnTouchdowns,puntReturns,puntReturnYards,yardsPerPuntReturn,longPuntReturn,puntReturnTouchdowns,puntReturnFairCatches,fieldGoalsMade,fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,fieldGoalAttempts1_19,fieldGoalAttempts20_29,fieldGoalAttempts30_39,fieldGoalAttempts40_49,fieldGoalAttempts50,extraPointsMade,extraPointAttempts,extraPointPct,punts,puntYards,longPunt,grossAvgPuntYards,netAvgPuntYards,puntsBlocked,puntsInside20,touchbacks,fairCatches,puntReturns,puntReturnYards,avgPuntReturnYards
10,Carson Wentz,Chiefs,QB,2.0,,,0.0,2.0,2.0,100.0,20.0,10.0,10.0,12.0,0.0,0.0,0.0,0.0,36.07,108.33300018310547,35.57,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Nick Mullens,Vikings,QB,4.0,,,0.0,2.0,2.0,100.0,38.0,19.0,9.5,24.0,0.0,0.0,0.0,0.0,97.47,118.75,97.66,3.0,-2.0,-0.6669999957084656,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Kyle Allen,Steelers,QB,1.0,,,0.0,1.0,1.0,100.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,99.52,118.75,99.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AJ Cole,Raiders,P,15.0,,,0.0,1.0,1.0,100.0,34.0,34.0,2.2666666507720947,34.0,0.0,0.0,0.0,0.0,,118.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,2926.0,70.0,50.448001861572266,42.382999420166016,2.0,23.0,6.0,12.0,23.0,263.0,11.4350004196167
14,Jack Fox,Lions,P,15.0,,,0.0,1.0,1.0,100.0,17.0,17.0,1.1333333253860474,17.0,0.0,0.0,0.0,0.0,,118.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,2193.0,68.0,51.0,46.27899932861328,0.0,21.0,4.0,14.0,19.0,123.0,6.473999977111816
15,Kyle Trask,Buccaneers,QB,3.0,,,0.0,1.0,1.0,100.0,5.0,5.0,1.6666666269302368,5.0,0.0,0.0,0.0,0.0,91.63,87.5,89.82,2.0,-2.0,-1.0,-1.0,0.0,0.0,-0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Clayton Tune,Cardinals,QB,5.0,,,0.0,2.0,2.0,100.0,8.0,4.0,1.600000023841858,7.0,0.0,0.0,0.0,0.0,0.39,83.33300018310547,0.33,6.0,-6.0,-1.0,2.0,0.0,0.0,-1.2000000476837158,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tyson Bagent,Bears,QB,4.0,,,0.0,2.0,2.0,100.0,11.0,5.5,2.75,6.0,0.0,0.0,0.0,0.0,42.02,89.58300018310547,52.46,6.0,-7.0,-1.1670000553131104,-1.0,0.0,0.0,-1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Adonai Mitchell,Colts,WR,15.0,,,0.0,1.0,1.0,100.0,24.0,24.0,1.600000023841858,24.0,0.0,0.0,0.0,0.0,75.58,118.75,71.43,4.0,6.0,1.5,10.0,0.0,0.0,0.4000000059604645,1.0,1.0,1.0,21.0,50.0,290.0,13.8100004196167,0.0,36.0,4.0,19.33333396911621,1.0,0.0,81.0,14.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tyrod Taylor,Jets,QB,1.0,,,0.0,6.0,8.0,75.0,36.0,4.5,36.0,9.0,1.0,0.0,0.0,0.0,95.08,122.91699981689453,95.9,1.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
