team,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingYardsPerGame,longPassing,passingTouchdowns,QBR,QBRating,adjQBR,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingBigPlays,rushingTouchdowns,rushingTouchdowns,rushingYardsPerGame,rushingFumbles,rushingFumblesLost,rushingFirstDowns,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,receivingTouchdowns,longReception,receivingBigPlays,receivingYardsPerGame,receivingFumbles,receivingFumblesLost,receivingYardsAfterCatch,receivingFirstDowns,totalTouchdowns,fieldGoals,kickExtraPoints,totalTwoPointConvs,totalPoints,totalPointsPerGame,fieldGoalsMade,fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,fieldGoalAttempts1_19,fieldGoalAttempts20_29,fieldGoalAttempts30_39,fieldGoalAttempts40_49,fieldGoalAttempts50,extraPointsMade,extraPointAttempts,extraPointPct
Dolphins,351.0,498.0,195.65900039672852,3431.0,18.56399965286255,448.63634872436523,127.0,20.0,91.08,1203.9440002441406,86.48,396.0,1576.0,46.72900032997131,186.0,6.0,10.0,10.0,139.519015096128,11.0,5.0,78.0,368.0,510.0,3594.0,141.5200011730194,20.0,20.0,429.0,34.0,266.3791294693947,3.0,0.0,2023.0,195.0,30.0,33.0,22.0,2.0,305.0,22.463000655174255,33.0,37.0,89.18900299072266,57.0,0.0,5.0,12.0,5.0,11.0,0.0,5.0,12.0,7.0,13.0,22.0,24.0,91.66699981689453
Eagles,263.0,388.0,124.25399780273438,3051.0,13.52299976348877,230.53334045410156,112.0,19.0,122.31,884.3150100708008,121.26,554.0,2818.0,35.01300001144409,160.0,23.0,28.0,28.0,190.34999930113554,7.0,3.0,150.0,261.0,356.0,3041.0,103.27000045776367,19.0,19.0,341.0,44.0,266.59999775886536,2.0,0.0,1409.0,147.0,47.0,24.0,40.0,3.0,400.0,29.229000002145767,24.0,31.0,77.41899871826172,50.0,0.0,7.0,8.0,8.0,1.0,0.0,7.0,8.0,9.0,7.0,40.0,41.0,97.56099700927734
Falcons,324.0,486.0,132.51200103759766,3748.0,15.24399995803833,330.57142639160156,82.0,18.0,116.09,757.3629989624023,106.55999999999999,434.0,1866.0,16.636000156402588,105.0,9.0,13.0,13.0,139.0666640251875,7.0,1.0,105.0,324.0,467.0,3748.0,127.30100059509277,18.0,18.0,328.0,44.0,258.24047550559044,3.0,1.0,1806.0,176.0,31.0,27.0,34.0,2.0,305.0,24.546999990940094,27.0,37.0,140.1959991455078,110.0,0.0,7.0,6.0,7.0,7.0,0.0,7.0,8.0,12.0,10.0,34.0,34.0,200.0
Giants,126.0,224.0,177.1680030822754,1157.0,16.197999954223633,281.66666412353516,76.0,2.0,98.0,842.7080078125,95.08,304.0,1348.0,44.10500004887581,174.0,10.0,10.0,10.0,117.94248880445957,5.0,5.0,70.0,332.0,516.0,3102.0,96.6129994392395,10.0,10.0,257.0,28.0,231.63937486708164,3.0,0.0,1482.0,156.0,21.0,7.0,9.0,1.0,158.0,17.125000059604645,7.0,9.0,175.0,81.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,5.0,1.0,9.0,10.0,200.0
Jaguars,308.0,492.0,125.94800186157227,3318.0,13.321000099182129,363.625,147.0,16.0,114.22,873.7529983520508,121.83,350.0,1493.0,26.78300040960312,165.0,7.0,12.0,12.0,116.68838699162006,7.0,3.0,88.0,321.0,490.0,3512.0,173.92199993133545,17.0,17.0,471.0,52.0,338.6690664291382,4.0,3.0,1584.0,163.0,31.0,22.0,23.0,4.0,283.0,21.673000305891037,22.0,24.0,91.66699981689453,59.0,0.0,7.0,6.0,6.0,3.0,0.0,7.0,6.0,7.0,4.0,23.0,23.0,100.0
Jets,339.0,538.0,137.8300018310547,3547.0,11.125,270.06666564941406,80.0,25.0,244.12,886.677001953125,256.97,320.0,1331.0,62.83699989318848,148.0,5.0,8.0,8.0,100.68443045020103,7.0,2.0,67.0,345.0,529.0,3590.0,98.31899929046631,26.0,26.0,339.0,46.0,276.77143478393555,1.0,1.0,1934.0,179.0,34.0,37.0,33.0,3.0,354.0,36.313999861478806,37.0,49.0,225.61399841308594,150.0,0.0,11.0,11.0,11.0,4.0,0.0,11.0,13.0,19.0,6.0,33.0,37.0,272.8570022583008
Lions,346.0,484.0,438.06500244140625,4184.0,42.5649995803833,295.4809517413378,130.0,35.0,315.79,1283.9630126953125,310.15,470.0,2158.0,33.943000584840775,173.0,10.0,24.0,24.0,160.9949627816677,2.0,0.0,128.0,344.0,454.0,4178.0,165.03600072860718,35.0,35.0,467.0,57.0,309.3489842414856,2.0,2.0,2374.0,212.0,60.0,23.0,58.0,0.0,487.0,33.87200045585632,23.0,26.0,88.46199798583984,58.0,0.0,3.0,10.0,5.0,5.0,0.0,3.0,10.0,6.0,7.0,58.0,59.0,98.30500030517578
Packers,272.0,424.0,136.35599899291992,3549.0,18.282999992370605,310.1538391113281,121.0,27.0,251.20999999999998,860.6140060424805,252.61,469.0,2209.0,51.167999505996704,188.0,13.0,19.0,19.0,176.93772795796394,6.0,2.0,125.0,272.0,409.0,3549.0,137.87600088119507,27.0,27.0,445.0,55.0,256.18972530961037,2.0,2.0,1810.0,153.0,46.0,16.0,27.0,2.0,355.0,28.335000216960907,16.0,17.0,94.11799621582031,55.0,0.0,4.0,7.0,3.0,2.0,0.0,4.0,7.0,4.0,2.0,27.0,27.0,100.0
Panthers,300.0,484.0,126.49800109863281,2938.0,12.234000205993652,327.25,122.0,17.0,108.49000000000001,1029.047004699707,103.61,365.0,1684.0,40.47700023651123,162.0,12.0,15.0,15.0,139.29285484552383,4.0,2.0,88.0,262.0,388.0,2483.0,121.50899934768677,14.0,14.0,376.0,30.0,241.47023570537567,5.0,3.0,1178.0,119.0,29.0,21.0,26.0,1.0,265.0,20.192000061273575,21.0,24.0,87.5,53.0,0.0,7.0,7.0,6.0,1.0,0.0,7.0,8.0,8.0,1.0,26.0,28.0,92.85700225830078
Patriots,307.0,475.0,126.73800277709961,2987.0,12.062000274658203,314.55843353271484,90.0,16.0,124.61,875.692008972168,126.2,396.0,1796.0,45.04299998283386,177.0,8.0,10.0,10.0,143.88268168270588,13.0,4.0,92.0,296.0,423.0,2883.0,106.89399909973145,15.0,15.0,311.0,30.0,207.44505516439676,4.0,1.0,1570.0,145.0,25.0,34.0,29.0,3.0,287.0,27.5349999666214,34.0,42.0,168.33399963378906,118.0,0.0,8.0,13.0,7.0,6.0,0.0,9.0,14.0,10.0,9.0,29.0,31.0,183.1520004272461
Raiders,365.0,564.0,291.0039939880371,3650.0,52.6080002784729,458.10952401161194,177.0,15.0,128.36,1108.4370040893555,124.88,330.0,1162.0,55.25399994850159,216.0,4.0,10.0,10.0,130.49899035692215,10.0,8.0,68.0,347.0,496.0,3441.0,159.58600091934204,14.0,14.0,401.0,39.0,269.97544527053833,0.0,0.0,1868.0,174.0,24.0,28.0,20.0,2.0,252.0,20.08400022983551,28.0,34.0,82.35299682617188,54.0,0.0,9.0,9.0,4.0,6.0,0.0,9.0,9.0,6.0,10.0,20.0,21.0,95.23799896240234
Rams,323.0,486.0,66.5979995727539,3573.0,7.367000102996826,238.1999969482422,69.0,20.0,65.49,728.4780044555664,67.5,407.0,1613.0,41.718000411987305,118.0,3.0,14.0,14.0,109.61678484082222,7.0,3.0,112.0,323.0,473.0,3573.0,127.27599859237671,20.0,20.0,424.0,42.0,297.41788306832314,1.0,0.0,1630.0,168.0,35.0,23.0,30.0,0.0,311.0,28.00633330643177,23.0,28.0,82.14299774169922,55.0,0.0,9.0,7.0,4.0,3.0,0.0,10.0,8.0,6.0,4.0,30.0,34.0,88.23500061035156
Ravens,302.0,445.0,134.54000091552734,3972.0,14.614999771118164,250.58750009536743,100.0,39.0,192.04000000000002,915.3130035400391,194.92,520.0,2969.0,31.960999846458435,227.0,26.0,19.0,19.0,194.70416629314423,11.0,5.0,156.0,301.0,422.0,3966.0,191.45499992370605,39.0,39.0,547.0,53.0,269.65416622161865,2.0,1.0,1982.0,187.0,58.0,22.0,55.0,1.0,471.0,30.295000314712524,22.0,30.0,73.33300018310547,56.0,0.0,4.0,7.0,5.0,6.0,0.0,4.0,7.0,8.0,11.0,55.0,57.0,96.49099731445312
Saints,294.0,473.0,319.89599609375,3272.0,45.46000051498413,418.79038763046265,187.0,19.0,312.49,1129.1669998168945,308.04,412.0,1809.0,69.51599955558777,232.0,6.0,15.0,15.0,184.49880608916283,2.0,0.0,103.0,296.0,453.0,3298.0,176.03800106048584,19.0,19.0,516.0,42.0,335.41529297828674,5.0,2.0,1582.0,146.0,35.0,22.0,29.0,1.0,307.0,27.764000236988068,22.0,26.0,84.61499786376953,57.0,0.0,4.0,6.0,6.0,6.0,0.0,4.0,7.0,7.0,8.0,29.0,31.0,93.5479965209961
Seahawks,393.0,566.0,205.95000076293945,4156.0,44.14999985694885,266.25,118.0,17.0,156.85,857.1970062255859,156.35999999999999,358.0,1500.0,30.97699999809265,158.0,12.0,17.0,17.0,108.10416668653488,8.0,0.0,83.0,389.0,538.0,4126.0,122.22900009155273,17.0,17.0,333.0,47.0,287.6042872071266,5.0,3.0,2027.0,197.0,36.0,25.0,34.0,0.0,327.0,21.777000188827515,25.0,29.0,86.20700073242188,59.0,0.0,4.0,6.0,7.0,8.0,0.0,4.0,6.0,8.0,11.0,34.0,37.0,91.89199829101562
Steelers,304.0,468.0,230.42899322509766,3459.0,33.52199983596802,362.99999237060547,120.0,20.0,206.47,1140.6860046386719,205.41,510.0,2092.0,25.090999603271484,137.0,11.0,13.0,13.0,162.60929426550865,9.0,4.0,116.0,316.0,452.0,3625.0,150.14400005340576,20.0,20.0,399.0,57.0,250.8794776648283,5.0,3.0,1614.0,159.0,34.0,40.0,33.0,0.0,357.0,24.474999755620956,40.0,43.0,93.02300262451172,57.0,0.0,9.0,12.0,7.0,12.0,0.0,9.0,12.0,8.0,14.0,33.0,33.0,100.0
Texans,339.0,542.0,219.88100051879883,3774.0,25.989999771118164,259.4375,105.0,19.0,141.6,912.8070068359375,153.95000000000002,366.0,1561.0,35.14199995994568,212.0,12.0,13.0,13.0,123.65149614214897,3.0,2.0,77.0,366.0,576.0,4121.0,122.6850004196167,21.0,21.0,418.0,48.0,347.76259012520313,3.0,0.0,1773.0,208.0,34.0,35.0,32.0,0.0,341.0,25.949999898672104,35.0,41.0,85.36599731445312,59.0,0.0,7.0,11.0,4.0,13.0,0.0,9.0,11.0,5.0,16.0,32.0,33.0,96.97000122070312
Titans,301.0,473.0,127.5620002746582,3183.0,13.484999656677246,385.34849548339844,145.0,20.0,169.74,911.6689987182617,169.81,388.0,1611.0,29.08999991416931,130.0,7.0,11.0,11.0,124.75303292274475,10.0,6.0,97.0,286.0,430.0,3010.0,134.20499992370605,19.0,19.0,481.0,36.0,219.9530343413353,2.0,1.0,1444.0,134.0,30.0,44.0,48.0,2.0,364.0,40.25999966263771,44.0,52.0,253.78900146484375,153.0,0.0,11.0,10.0,16.0,7.0,0.0,11.0,11.0,21.0,9.0,48.0,48.0,300.0
Vikings,529.0,805.0,330.5880012512207,5906.0,55.26100015640259,469.70000410079956,186.0,40.0,237.78,897.3710021972656,236.06,516.0,2079.0,31.826999723911285,157.0,6.0,12.0,12.0,147.2717928737402,7.0,4.0,124.0,316.0,444.0,3841.0,121.55800008773804,33.0,33.0,364.0,57.0,288.86538541316986,4.0,3.0,1509.0,184.0,46.0,19.0,35.0,0.0,368.0,28.170000165700912,19.0,22.0,86.36399841308594,58.0,0.0,3.0,5.0,5.0,6.0,0.0,3.0,6.0,6.0,7.0,35.0,35.0,100.0
