awayTeam,homeTeam,awayScore,homeScore,team1points,team2points,team1TORating,team2TORating,team1RushMultiplier,team2RushMultiplier,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,spread
Ravens,Chiefs,20,27,24.1,23.0,1.745068359375,1.8281668526785717,1.2737690357839122,0.627813934727676,1.0623347183900207,0.9243839167769093,1.073801900629583,1.2205035340458112,1.4276470150780802,2.70829025099049,-7
Packers,Eagles,29,34,22.75,23.65,0.9033295036764706,0.8825633081896551,1.053969368749481,1.3128970963487923,1.01133416240716,1.086581797785586,0.8462023360012744,0.856463055475966,0.43388146660404414,0.4608325738967303,-5
Steelers,Falcons,18,10,23.2,21.2,1.333038330078125,0.5384502651647967,1.0821445884368033,0.8744329815090792,1.0176461766928437,0.9755231170583669,0.9235245041551852,1.1293192453328467,0.6718032739332144,1.8368920994479814,8
Cardinals,Bills,28,34,21.85,27.0,0.6192178049395162,3.4278128487723216,1.1836734019309496,1.1522831240946503,1.03860153078151,1.0277869729585847,1.015268167985095,1.0466056757203488,1.078707874697095,1.2557853951929487,-6
Titans,Bears,17,24,20.200000000000003,22.6,0.52880859375,1.613088399422269,1.0300781005935644,0.9323375401974312,1.0058472747847962,0.9866144576402521,0.90007058353212,0.6939512352790191,0.5907215855988804,0.16093287352537192,-7
Patriots,Bengals,16,10,21.35,26.700000000000003,0.7271118164062501,1.59964599609375,1.0571921067333416,0.8632651052547825,1.0126935839709124,0.9813663314658083,0.8411391436548649,1.2608361750536683,0.42105537905376017,3.186348719697395,6
Texans,Colts,29,27,23.55,22.15,0.8886922200520834,0.472801772244458,0.9879898127644801,1.0882102616611924,0.9978505893209654,1.0195110853630882,1.0264728329696315,0.8205013801072989,1.139560266878976,0.37187465437026956,2
Jaguars,Dolphins,17,20,19.700000000000003,22.950000000000003,1.1127972146739131,2.5092486213235294,0.7248926329902089,0.9406568958767387,0.945440700679702,0.9898450852595504,0.8999650650441509,1.2072643539579009,0.5903754047739573,2.5645542388363696,-3
Panthers,Saints,10,47,20.9,25.45,1.090667724609375,1.26287841796875,1.0459285816264041,1.4586024145935406,1.0090901595122257,1.0778122352106223,0.9271591711082448,0.947414483108051,0.6851276465933976,0.7633084980256518,-37
Vikings,Giants,28,6,25.549999999999997,17.55,1.2187779017857145,0.562925277217742,1.0716469523177978,0.6470693752811587,1.0111116133490656,0.9210757945296887,1.074474845846029,0.9966869555303584,1.4321261147571505,0.9835441772418602,22
