awayTeam,homeTeam,awayScore,homeScore,season,team1points,team2points,pointDiff,team1TORating,TORatingDiff,team2TORating,team1RushMultiplier,team2RushMultiplier,RushMultDiff,AdjRushDiff,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,PassMultDiff,AdjPassDiff,FPI_diff,SOS_diff,AVGWP,totEfficiencyDiff,offEfficiencyDiff,defEfficiencyDiff,spread,spread_zscore
Packers,Seahawks,16,36,0.0,23.15,23.200000000000003,-0.05000000000000426,1.8691536893812708,0.39064323137862544,1.4785104580026454,0.787646769572271,1.6694639438059404,-0.8818171742336695,-0.1844338207371068,0.9622234894305257,1.1466573101676325,0.8812978293542487,0.8198981529637134,0.5316349233987311,0.37050966407867164,0.06139967639053534,0.16112525932005944,6.7,-1.0,-8.0,12.899999999999999,16.0,3.6000000000000014,-20,1.1185413113768734
Saints,Falcons,34,37,0.0,25.6,25.15,0.45000000000000284,0.6653297061011904,-0.7640231151903697,1.42935282129156,1.0850433837553124,1.0027461267270497,0.08229725702826274,0.01118118575770466,1.0115198724352261,1.0003386866775215,1.4862817803665753,1.2747590179203,7.252801141397561,3.366204255754592,0.21152276244627521,3.886596885642969,-6.5,-2.0,5.0,-5.399999999999999,-14.100000000000001,-0.10000000000000142,-3,0.03268545879776275
Bills,Bears,23,20,0.0,24.5,19.0,5.5,1.012458248414855,0.37007094597232626,0.6423873024425287,0.8418834499412734,0.7733631745191184,0.068520275422155,0.009972711832352044,0.9746497142163988,0.9646770023840467,1.0650040121119675,0.8696956113879727,1.370112470845446,0.49754961306374046,0.1953084007239948,0.8725628577817055,8.6,11.0,-23.0,29.5,39.900000000000006,3.3999999999999986,3,0.3505577832889821
Titans,Chiefs,26,10,0.0,16.75,24.75,-8.0,1.653482109837278,-0.4012125707693397,2.0546946806066178,0.9283546209424839,1.3270594037669468,-0.39870478282446287,-0.07102910339260149,0.9886572854469077,1.0596863888395092,0.7732177163054293,0.8362808384973937,0.2763815073487799,0.4090352440158631,-0.0630631221919643,-0.1326537366670832,-6.0,-12.0,19.0,-34.3,-34.7,-12.5,16,1.180918141143596
Vikings,Rams,34,6,0.0,21.200000000000003,20.85,0.3500000000000014,1.11775390625,0.028325147721735,1.089428758528265,1.0036948168762931,1.0008906953127126,0.002804121563580564,0.0005570253016375926,1.0007088607211867,1.000151835419549,0.8725671014926157,0.8460990736956026,0.5058178758981303,0.43361679782881857,0.026468027797013183,0.07220107806931175,1.4,7.0,-13.0,17.599999999999994,2.8999999999999986,20.799999999999997,28,1.947404625317086
Patriots,Dolphins,20,33,0.0,26.3,21.950000000000003,4.349999999999998,1.7196213942307692,0.7476614757525085,0.9719599184782607,1.0541020481479662,0.9844354387954752,0.06966660935249092,0.01080465218136617,1.0080374911147387,0.9972328389333726,1.0210779164650112,0.9967012763628165,1.1099270036920759,0.9836148392289006,0.024376640102194758,0.12631216446317528,-6.0,-16.0,5.0,-14.5,-8.700000000000003,-20.300000000000004,-13,0.6714241956090042
Raiders,Jets,14,19,0.0,20.450000000000003,23.0,-2.549999999999997,1.4824322364058358,-0.18089202884714028,1.663324265252976,0.5820609353171777,1.3725755564885653,-0.7905146211713876,-0.15471423442586185,0.9273182438376815,1.0820324782635433,0.854462128147165,0.7816039509428837,0.45547452588313775,0.2916981872323826,0.07285817720428134,0.16377633865075514,-1.4,-5.0,6.0,-10.300000000000004,-19.099999999999998,-0.10000000000000142,-5,0.16043320616001105
Jaguars,Eagles,17,34,0.0,20.3,27.700000000000003,-7.400000000000002,0.7676881224244506,-0.008529868026938336,0.776217990451389,0.9117807781565908,1.2765327795173076,-0.36475200136071684,-0.0580148303558915,0.9827152408606584,1.04073007121655,0.8861114624183906,1.1832505980747412,0.5463132984976922,2.3194427811121505,-0.29713913565635064,-1.7731294826144584,-10.8,1.0,22.0,-32.4,-25.200000000000003,-29.099999999999994,-17,0.9269196903335009
Browns,Steelers,27,30,0.0,20.85,24.200000000000003,-3.3500000000000014,1.1570951410455486,0.23939899469907888,0.9176961463464697,0.8738597935940953,1.2508189202425286,-0.37695912664843334,-0.05397084801900187,0.9765900155936685,1.0305608636126704,0.977516641282169,1.2073168019951064,0.8925258388189549,2.565111355937793,-0.2298001607129374,-1.6725855171188382,-2.8,-4.0,14.0,-30.3,-22.4,-14.0,-3,0.03268545879776275
Bengals,Ravens,23,16,0.0,20.85,23.55,-2.6999999999999993,0.9770576103583914,-0.09770576103583939,1.0747633713942308,0.9559392391085009,1.1840120953960482,-0.22807285628754737,-0.04111005808772439,0.9905120067775948,1.0316220648653192,0.9481063346589815,1.0342660157645394,0.7660996101940271,1.1834809554786603,-0.08615968110555783,-0.4173813452846332,-7.3,14.0,8.0,-13.399999999999991,-11.5,-12.599999999999994,7,0.6060532780134787
Redskins,Texans,6,17,0.0,19.0,25.35,-6.350000000000001,0.5302437885436433,-0.8067824151046821,1.3370262036483254,0.8961790200899483,1.1726939637685925,-0.27651494367864415,-0.051515203594256986,0.9835137027320655,1.0350289063263225,1.0962443052567614,0.9316526820946475,1.5832035375129763,0.7018918390608476,0.16459162316211395,0.8813116984521286,0.9,12.0,-3.0,4.800000000000004,22.60000000000001,-16.4,-11,0.543676448246756
49ers,Cowboys,28,17,0.0,20.55,25.25,-4.699999999999999,0.8194676732038124,0.048602910272777855,0.7708647629310346,1.1311355269246859,1.1961627510320239,-0.06502722410733797,-0.009195588848416092,1.0291432548208939,1.03833884366931,0.8596935394847285,0.9306942705625774,0.46958943274554377,0.6982890017385964,-0.07100073107784888,-0.22869956899305266,8.0,-9.0,-10.0,7.100000000000001,20.1,2.6999999999999957,11,0.8615487727379754
Panthers,Buccaneers,20,14,0.0,23.4,20.35,3.049999999999997,0.9719599184782607,0.32058817823933283,0.6513717402389279,1.167631862844695,0.7761188935240642,0.39151296932063073,0.06889542368320822,1.0312747555026764,0.9623793318194682,0.9987596768700197,0.837153839959908,0.9938137492954447,0.41117468488479736,0.16160583691011166,0.5826390644106474,-12.0,-1.0,18.0,-29.4,-19.700000000000003,-17.499999999999996,6,0.5421794043323546
Colts,Broncos,24,31,0.0,25.35,26.6,-1.25,0.7211315524193548,-0.35363181897487606,1.0747633713942308,0.6489040620826343,1.02092612775031,-0.3720220656676758,-0.055022016314530964,0.9478992878518908,1.0029213041664218,1.2294389015556275,1.1910173868215148,2.8088901433138838,2.396572145919807,0.038421514734112705,0.41231799739407693,-2.8000000000000003,2.0,9.0,-15.700000000000003,-6.799999999999997,-10.899999999999999,-7,0.28818095352225936
Giants,Lions,14,35,0.0,20.700000000000003,22.55,-1.8499999999999979,0.7392552290013227,-0.37849867724867725,1.11775390625,0.5601676513373116,0.9688893436712628,-0.40872169233395117,-0.07292546525079835,0.9229344980027239,0.9958599632535222,1.1026136854124962,1.0806805935215553,1.6297346256524352,1.4739636154211353,0.021933091890940837,0.1557710102312999,-17.1,8.0,30.0,-44.4,-47.3,-15.299999999999997,-21,1.1824151850579974
Chargers,Cardinals,17,18,0.0,20.25,20.6,-0.3500000000000014,0.9719599184782607,-0.854435353172066,1.8263952716503267,0.7488666395940065,0.8189212761248871,-0.07005463653088062,-0.010181369101207705,0.9645149912775957,0.9746963603788034,1.185005873074127,0.9090127728431251,2.3366976076083477,0.6206545283819761,0.275993100231002,1.7160430792263717,0.7000000000000001,27.0,-9.0,15.0,4.699999999999996,17.4,-1,0.09506228856448555
Steelers,Ravens,6,26,0.0,23.1,24.3,-1.1999999999999993,1.2096903747294372,-0.12096903747294396,1.3306594122023812,0.7799951317614072,1.0211213514034707,-0.2411262196420635,-0.036728971177496184,0.967130894168985,1.0038598653464812,1.3374596376667391,1.0772540271193616,4.279602405797067,1.4507434935623347,0.26020561054737756,2.828858912234732,-7.7,-5.0,16.0,-13.099999999999994,-34.4,5.100000000000001,-20,1.1185413113768734
Dolphins,Bills,10,29,0.0,21.200000000000003,22.35,-1.1499999999999986,0.8099665987318841,-0.16199331974637654,0.9719599184782607,1.004256286556458,0.9046325269555299,0.09962375960092806,0.015591791081689732,1.0007505305647129,0.9851587394830231,0.855384164618297,0.8954250828006445,0.45793731178332403,0.5756337892353356,-0.04004091818234745,-0.11769647745201156,-6.0,11.0,16.0,-22.1,-30.6,-0.19999999999999574,-19,1.0546674376957492
Falcons,Bengals,10,24,0.0,22.65,24.450000000000003,-1.8000000000000043,0.9345768446906356,0.166888722266185,0.7676881224244506,0.8781579408008726,1.2818030114433354,-0.4036450706424628,-0.06984421928745121,0.9840842935382649,1.053928512825716,1.2331466614436026,1.0670485045076354,2.851501848023243,1.3833141116460477,0.1660981569359672,1.4681877363771954,-1.7,-1.0,5.0,-7.800000000000004,-8.399999999999999,0.29999999999999716,-14,0.7352980692901284
Saints,Browns,24,26,0.0,23.1,22.6,0.5,0.6423873024425287,-0.7869655188490313,1.42935282129156,1.297653235977637,1.157014761608134,0.14063847436950283,0.011288357298331997,1.0372416817686332,1.0259533244703012,1.1921052507763352,0.9701785076652739,2.407537189401326,0.8595244743395865,0.2219267431110613,1.5480127150617398,-5.0,20.0,-12.0,16.8,22.799999999999997,-3.5,-2,0.031188414883361402
