awayTeam,homeTeam,awayScore,homeScore
Eagles,Commanders,33,36
Cardinals,Panthers,30,36
Vikings,Seahawks,27,24
Patriots,Bills,21,24
Jaguars,Raiders,14,19
49ers,Dolphins,17,29
Buccaneers,Cowboys,24,26
Saints,Packers,0,34
Chiefs,Steelers,29,10
Ravens,Texans,31,2
Seahawks,Bears,6,3
Chargers,Patriots,40,7
Broncos,Bengals,24,30
Cardinals,Rams,9,13
Jets,Bills,14,40
Raiders,Saints,25,10
Colts,Giants,33,45
Cowboys,Eagles,7,41
Panthers,Buccaneers,14,48
Titans,Jaguars,13,20
Dolphins,Browns,20,3
Packers,Vikings,25,27
Falcons,Commanders,24,30
Lions,49ers,40,34
